"Index","GS","KO","DIS","CAT"
2010-01-04,157.438422,22.920968,29.170142,47.809265
2010-01-05,160.221881,22.643697,29.097376,48.380853
2010-01-06,158.511776,22.635661,28.942748,48.527833
2010-01-07,161.613611,22.579403,28.951844,48.723805
2010-01-08,158.55726,22.16149,28.997322,49.270898
2010-01-11,156.055783,22.61155,28.524343,52.365637
2010-01-12,152.653783,22.856673,28.033171,50.822353
2010-01-13,153.790818,22.916948,28.460673,50.895843
2010-01-14,153.299611,22.957133,28.215087,50.610047
2010-01-15,150.279654,22.619587,27.833064,49.426187
2010-01-19,151.780534,22.671826,28.205991,50.09211
2010-01-20,152.626482,22.302133,28.369715,49.130222
2010-01-21,146.331857,21.848053,27.84216,46.737836
2010-01-22,140.191868,21.795815,27.269126,44.600311
2010-01-25,140.974149,21.840016,27.214551,45.332003
2010-01-26,137.244682,21.75563,26.978061,45.915711
2010-01-27,137.808647,21.904311,26.668805,43.934388
2010-01-28,139.436875,21.771704,26.696093,42.635432
2010-01-29,135.279882,21.799833,26.878007,42.94784
2010-02-01,139.291345,21.852073,26.850721,43.523326
2010-02-02,142.757026,22.121305,27.269126,44.024823
2010-02-03,143.020812,22.048974,27.9695,43.893283
2010-02-04,137.062745,21.470324,26.987157,42.257255
2010-02-05,140.228261,21.333698,26.868913,42.544997
2010-02-08,137.444801,21.156889,26.814337,41.747535
2010-02-09,138.709184,21.703391,27.141785,44.00838
2010-02-10,139.746159,21.614987,27.314605,43.695974
2010-02-11,140.128201,21.787778,27.43285,46.162351
2010-02-12,140.019037,21.691336,27.350988,46.203457
2010-02-16,143.175447,22.028882,27.714818,46.959811
2010-02-17,143.0481,22.233821,28.069555,47.272219
2010-02-18,141.65637,22.466888,28.215087,47.527079
2010-02-19,142.0657,22.390539,28.406097,47.888814
2010-02-22,142.547815,22.253913,28.306045,47.707945
2010-02-23,142.53871,22.032901,28.124129,46.581634
2010-02-24,144.021408,22.165508,28.551629,46.828271
2010-02-25,142.302212,21.345753,28.524343,46.688511
2010-02-26,142.539251,21.185018,28.415193,46.902262
2010-03-01,142.712456,21.40603,28.688067,47.559962
2010-03-02,144.727248,21.418084,28.997322,47.806602
2010-03-03,143.788231,21.671244,28.779024,48.151893
2010-03-04,149.157954,21.888238,29.624931,48.053239
2010-03-05,152.4126,21.980661,30.216157,48.694496
2010-03-08,154.83764,21.884219,30.188868,48.431416
2010-03-09,153.935097,21.771704,30.298019,48.653391
2010-03-10,156.752147,21.779741,30.316211,48.324539
2010-03-11,158.183458,21.714919,30.752808,48.423196
2010-03-12,159.505388,21.613637,30.643656,49.623499
2010-03-15,158.201696,21.735177,30.670946,48.891808
2010-03-16,160.626735,21.755433,30.698232,48.875365
2010-03-17,161.036983,21.812151,30.698232,49.508402
2010-03-18,161.775431,21.856716,30.725518,49.138445
2010-03-19,162.185679,22.180818,30.598178,48.809593
2010-03-22,160.599386,22.095742,30.880148,49.286428
2010-03-23,159.386866,22.403639,30.934721,51.308856
2010-03-24,159.003968,22.128151,31.280361,51.021113
2010-03-25,159.450676,22.201075,31.917066,51.086881
2010-03-26,157.599992,22.140306,32.117174,51.333518
2010-03-29,158.675767,22.188921,31.980736,52.18853
2010-03-30,156.241616,22.229434,31.92616,51.92545
2010-03-31,155.557865,22.282101,31.753342,51.67059
2010-04-01,155.184078,22.403639,32.335471,52.607816
2010-04-05,157.864383,22.225383,32.035312,53.429938
2010-04-06,157.627341,21.994459,32.262706,53.676578
2010-04-07,160.781717,21.804048,32.126268,53.002435
2010-04-08,163.644353,21.77974,32.444619,53.010658
2010-04-09,163.297915,22.115998,32.944889,53.660132
2010-04-12,162.130981,22.184869,32.644727,54.860441
2010-04-13,163.416436,22.290204,32.599249,54.416492
2010-04-14,168.58559,22.261845,32.926697,55.312606
2010-04-15,167.993012,21.982305,33.108613,56.085406
2010-04-16,146.504997,22.269947,32.590155,54.983755
2010-04-19,148.893576,22.411742,32.899407,55.074189
2010-04-20,145.848595,22.067383,33.235954,55.493475
2010-04-21,144.891342,21.953946,33.254146,55.699006
2010-04-22,145.000751,22.002562,33.45425,55.847911
2010-04-23,143.496491,21.828357,33.463348,56.898521
2010-04-26,138.60084,21.767587,33.690742,59.272742
2010-04-27,139.521619,21.419175,33.035845,56.691707
2010-04-28,143.140941,21.617689,33.008559,57.055701
2010-04-29,146.085638,21.771639,33.854466,58.528212
2010-04-30,132.374148,21.654151,33.508826,56.327714
2010-05-03,136.294322,21.77974,34.163723,57.858138
2010-05-04,136.248736,21.544766,33.281432,55.177831
2010-05-05,135.100039,21.739228,32.14446,54.565665
2010-05-06,129.748554,21.188252,30.934721,52.530621
2010-05-07,130.35937,21.338149,30.388976,51.372465
2010-05-10,131.125168,21.893177,32.098982,55.169563
2010-05-11,129.429465,21.718972,32.526481,54.656663
2010-05-12,134.197483,21.885074,31.95345,56.377353
2010-05-13,131.872728,21.670356,31.607809,55.35156
2010-05-14,130.578161,21.609587,30.980202,53.672229
2010-05-17,130.040281,21.637945,31.107543,52.762251
2010-05-18,125.226676,21.512355,30.68004,52.274171
2010-05-19,127.724651,21.520458,30.370784,50.826477
2010-05-20,124.07798,20.880354,29.097376,48.534984
2010-05-21,128.198708,20.900611,29.897803,49.709686
2010-05-24,124.615861,20.847943,29.543069,48.989976
2010-05-25,129.967346,20.507635,29.397536,48.981701
2010-05-26,127.906982,20.288866,30.079719,49.411874
2010-05-27,132.476717,20.754764,31.262169,51.339377
2010-05-28,131.84609,20.823637,30.39807,50.263944
2010-06-01,129.652621,20.779072,30.316211,49.031338
2010-06-02,132.367047,21.232816,31.598715,50.346672
2010-06-03,131.645021,21.37056,31.571426,50.553485
2010-06-04,130.009061,20.770969,30.643656,47.782183
2010-06-07,126.746261,20.580558,30.052433,46.185586
2010-06-08,125.923713,20.888457,30.152487,46.830843
2010-06-09,125.028048,20.803379,29.961473,46.996294
2010-06-10,122.258788,21.249022,31.025681,49.593871
2010-06-11,123.967866,21.101942,31.143927,49.825501
2010-06-14,121.957184,21.044743,30.861956,50.462487
2010-06-15,125.119435,21.318476,31.82611,52.49753
2010-06-16,125.26567,21.408359,31.644193,53.266877
2010-06-17,125.503305,21.392017,31.898874,53.730137
2010-06-18,126.289287,21.371589,31.971642,54.474667
2010-06-21,125.887161,21.441043,31.88978,54.656663
2010-06-22,123.191005,21.432872,31.243977,53.035247
2010-06-23,123.446923,21.34299,31.234883,53.217243
2010-06-24,123.364657,21.163224,30.561794,52.423077
2010-06-25,127.641939,20.534047,30.452646,53.531598
2010-06-28,124.900096,20.869065,30.216157,53.275151
2010-06-29,122.24964,20.562647,29.379344,50.338397
2010-06-30,119.973919,20.476849,28.651683,49.69314
2010-07-01,119.855101,20.440079,28.642587,49.610416
2010-07-02,119.800266,20.448251,28.542533,48.956885
2010-07-06,120.878718,20.603502,28.85179,49.478056
2010-07-07,124.141518,21.028402,30.14339,51.438646
2010-07-08,123.803362,21.416529,30.325306,52.257626
2010-07-09,126.179617,21.408359,30.698232,53.539872
2010-07-12,125.439322,21.428787,30.716424,53.175878
2010-07-13,128.181165,21.539097,31.334937,55.252287
2010-07-14,127.093565,21.579952,31.143927,55.177831
2010-07-15,132.723486,21.592208,30.971105,55.020657
2010-07-16,133.591734,21.396101,30.043335,53.24687
2010-07-19,133.143894,21.355246,30.298019,53.96305
2010-07-20,136.095956,21.751547,30.379882,55.320451
2010-07-21,134.341178,22.094734,29.843231,55.686869
2010-07-22,133.939038,22.168273,30.5527,56.627889
2010-07-23,134.697617,22.368466,31.043873,57.718807
2010-07-26,135.447047,22.446091,31.289459,58.285086
2010-07-27,134.560516,22.491033,31.180307,57.61055
2010-07-28,134.533099,22.421579,30.96201,58.060243
2010-07-29,139.450142,22.46652,30.661848,57.793759
2010-07-30,137.841599,22.515547,30.643656,58.085225
2010-08-02,139.596377,23.04667,31.362223,59.167819
2010-08-03,140.007651,23.034414,31.116637,58.60154
2010-08-04,142.950563,23.103868,31.680577,59.226112
2010-08-05,142.502724,23.030327,31.817012,59.92563
2010-08-06,141.826398,23.185579,31.835204,59.592524
2010-08-09,142.027467,23.33266,31.980736,60.017235
2010-08-10,140.656546,23.279547,32.098982,59.475937
2010-08-11,136.406694,22.895504,31.125735,57.21915
2010-08-12,136.562064,22.752509,30.916532,56.211508
2010-08-13,135.337377,22.768851,30.634562,56.636219
2010-08-16,135.044907,22.830135,30.61637,57.035941
2010-08-17,135.803486,22.928188,30.707326,58.076895
2010-08-18,136.360994,22.813793,30.843764,58.085225
2010-08-19,134.396012,22.585001,30.188868,57.702154
2010-08-20,135.483612,22.593172,30.061527,57.344066
2010-08-23,134.112691,22.715739,29.952379,55.661881
2010-08-24,131.562769,22.740253,29.233812,54.162911
2010-08-25,132.229947,22.629942,29.206526,53.879768
2010-08-26,129.606921,22.535974,29.051898,53.255199
2010-08-27,127.724191,22.944531,29.815941,54.879088
2010-08-30,125.213693,22.695311,29.424823,53.688237
2010-08-31,125.461068,22.830135,29.597645,54.262845
2010-09-01,128.035721,23.414371,30.479932,56.761134
2010-09-02,128.072364,23.44297,30.843764,57.077582
2010-09-03,134.95334,23.51651,31.535042,58.360038
2010-09-07,133.047568,23.545109,30.780094,58.043584
2010-09-08,135.182401,23.626821,30.780094,58.909658
