"Index" "yahoo" "microsoft" "citigroup" "dow_chemical"
2015-01-02 50.169998 44.305014 53.452587 42.482094
2015-01-05 49.130001 43.897593 51.768033 41.168215
2015-01-06 49.209999 43.253294 49.945564 40.506617
2015-01-07 48.59 43.802841 50.408567 40.441389
2015-01-08 50.23 45.09144 51.16711 41.447763
2015-01-09 49.720001 44.712439 50.024371 41.382535
2015-01-12 48.799999 44.153415 49.630326 41.140261
2015-01-13 48.299999 43.926017 49.275682 40.637073
2015-01-14 47.509998 43.547017 48.320115 40.469343
2015-01-15 46.23 43.092218 46.527197 40.357525
2015-01-16 46.470001 43.812318 46.901544 41.736631
2015-01-20 47.630001 43.954441 46.55675 41.121624
2015-01-21 48.18 43.509116 47.02961 41.690041
2015-01-22 48.889999 44.655591 48.832377 42.267774
2015-01-23 48.950001 44.702965 47.896513 41.531628
2015-01-26 49.439999 44.541889 48.162496 41.522311
2015-01-27 47.990002 40.420273 47.591128 41.158895
2015-01-28 46.459999 39.02745 46.408984 40.09661
2015-01-29 43.73 39.804398 46.921353 41.941631
2015-01-30 43.990002 38.278929 46.261185 42.081407
2015-02-02 44.689999 39.112725 47.019888 42.137318
2015-02-03 44.700001 39.415924 48.16287 43.693471
2015-02-04 44.049999 39.643325 47.689912 43.069147
2015-02-05 43.549999 40.221299 47.827858 44.541436
2015-02-06 42.939999 40.183399 48.419053 45.100535
2015-02-09 42.57 40.136024 48.488026 44.970076
2015-02-10 43.07 40.363422 48.665386 45.193717
2015-02-11 42.959999 40.154975 48.951132 44.80235
2015-02-12 43.93 40.827698 50.143379 45.799407
2015-02-13 44.419998 41.566745 50.448832 46.069635
2015-02-17 43.529999 41.585834 50.931641 46.190774
2015-02-18 43.650002 41.538119 50.665602 46.041681
2015-02-19 44.369999 41.509493 50.370004 46.293276
2015-02-20 44.110001 41.85302 51.020321 46.1535
2015-02-23 43.529999 42.129751 50.56707 46.116229
2015-02-24 43.380001 42.072495 51.138563 46.414414
2015-02-25 44.43 41.977073 51.325774 46.451685
2015-02-26 44.450001 42.043869 51.641079 45.892589
2015-02-27 44.279999 41.843476 51.65093 45.883272
2015-03-02 44.110001 41.872106 52.705236 45.98577
2015-03-03 42.619999 41.299559 52.941712 45.892589
2015-03-04 43.990002 41.089628 52.882591 46.190774
2015-03-05 44.16 41.137339 52.774208 45.55713
2015-03-06 43.439999 40.421658 52.281544 44.671891
2015-03-09 42.98 40.889235 52.173157 44.662575
2015-03-10 42.68 40.106757 50.478391 43.898475
2015-03-11 42.5 40.059046 51.562254 43.590969
2015-03-12 42.950001 39.142975 53.28658 44.224614
2015-03-13 42.869999 39.486503 52.754501 43.842564
2015-03-16 43.509998 39.658266 52.902298 43.823927
2015-03-17 43.790001 39.791859 53.050099 43.451197
2015-03-18 44.669998 40.555252 52.931861 44.299162
2015-03-19 44.98 40.354862 51.61152 43.544379
2015-03-20 45.040001 40.917864 52.202716 44.066204
2015-03-23 44.720001 40.898779 51.710052 44.010293
2015-03-24 44.419998 40.93695 51.177973 43.991656
2015-03-25 44.200001 39.56284 50.626191 43.637564
2015-03-26 44.470001 39.32428 50.438977 43.665518
2015-03-27 45.099998 39.095264 50.251765 44.906656
2015-03-30 44.950001 39.085719 50.882375 45.771694
2015-03-31 44.439999 38.799448 50.764137 45.113514
2015-04-01 44.130001 38.856703 50.862668 45.038295
2015-04-02 44.150002 38.446379 51.099149 45.357983
2015-04-06 43.669998 39.648722 50.862668 45.771694
2015-04-07 43.610001 39.629637 50.764137 45.621253
2015-04-08 45.169998 39.524669 51.128707 45.480213
2015-04-09 45.630001 39.581925 51.365188 45.828111
2015-04-10 45.18 39.810945 51.660786 45.499019
2015-04-13 44.77 39.849112 51.887411 45.386189
2015-04-14 45.529999 39.744148 51.956384 45.912734
2015-04-15 45.73 40.326232 52.429341 47.116262
2015-04-16 45.779999 40.23081 53.227459 46.777769
2015-04-17 44.450001 39.715518 52.291396 46.693145
2015-04-20 44.66 40.94649 52.419489 47.097456
2015-04-21 44.490002 40.688845 51.710052 46.683744
2015-04-22 43.98 41.022831 52.320954 47.031638
2015-04-23 43.700001 41.356814 52.439196 47.953089
2015-04-24 44.52 45.679526 52.123892 48.065919
2015-04-27 44.360001 45.832204 52.025356 48.395011
2015-04-28 44.34 46.910498 52.24213 48.7241
2015-04-29 43.279999 46.815075 52.971271 48.526647
2015-04-30 42.57 46.414292 52.537728 47.953089
2015-05-01 42.509998 46.433377 52.971271 48.601865
2015-05-04 42.040001 46.032598 53.375256 48.564258
2015-05-05 41.299999 45.42188 52.567286 48.282178
2015-05-06 41.66 44.162282 52.045063 47.84026
2015-05-07 43.869999 44.563066 52.577646 47.614596
2015-05-08 44.09 45.565018 53.277891 48.752306
2015-05-11 43.599998 45.202405 53.228579 48.799322
2015-05-12 43.84 45.18332 53.001739 47.906077
2015-05-13 44.400002 45.45051 53.455419 47.69922
2015-05-14 44.950001 46.490633 53.849921 48.178753
2015-05-15 44.75 46.08985 53.49487 48.432619
2015-05-18 44.360001 45.813119 53.918959 47.953089
2015-05-19 40.98 45.697869 54.569896 47.69922
2015-05-20 42.790001 45.697869 54.135938 47.990701
2015-05-21 43.68 45.544195 54.086626 48.310388
2015-05-22 43.490002 45.044768 54.214841 48.225765
2015-05-26 42.849998 44.747029 53.49487 47.595791
2015-05-27 43.380001 45.726681 54.116213 48.141141
2015-05-28 43.07 45.573011 53.800609 48.489035
2015-05-29 42.939999 45.006349 53.337068 48.959164
2015-06-01 43.349998 45.361712 53.701984 49.137811
2015-06-02 43.150002 45.063974 53.968275 49.504514
2015-06-03 43.209999 44.996743 54.865774 49.843004
2015-06-04 42.880001 44.526128 54.569896 49.880615
2015-06-05 42.810001 44.314829 55.467395 48.959164
2015-06-08 42.009998 43.921048 54.8855 48.329194
2015-06-09 41.630001 43.844214 55.23069 48.442023
2015-06-10 42.060001 44.766239 56.236678 48.883945
2015-06-11 40.939999 44.602961 56.424067 49.043787
2015-06-12 40.529999 44.151556 56.325442 48.742905
2015-06-15 40.470001 43.680937 55.871762 48.761711
2015-06-16 40.639999 44.017094 56.28599 49.448098
2015-06-17 40.959999 44.151556 55.763273 50.162691
2015-06-18 40.91 44.871888 55.980248 50.388354
2015-06-19 40.509998 44.276411 55.45753 50.096873
2015-06-22 40.73 44.401269 56.16764 50.247314
2015-06-23 40.650002 44.093928 56.601594 50.369549
2015-06-24 40.939999 43.834608 55.881623 49.927627
2015-06-25 41.07 43.844214 55.418078 50.04046
2015-06-26 40.060001 43.469639 55.566019 49.917252
2015-06-29 38.91 42.614845 54.126077 48.135511
2015-06-30 39.290001 42.40355 54.481132 48.495648
2015-07-01 39.330002 42.691682 54.915086 48.704151
2015-07-02 39.380001 42.643661 54.609344 48.694675
2015-07-06 38.610001 42.634054 54.32333 47.927007
2015-07-07 38.23 42.547614 53.751297 48.182897
2015-07-08 37.23 42.48999 52.07465 46.931885
2015-07-09 37.610001 42.758913 52.972148 47.633208
2015-07-10 37.919998 42.845353 53.810474 48.723106
2015-07-13 38.759998 43.738565 54.77701 49.225405
2015-07-14 38.630001 43.815399 55.141926 50.267916
2015-07-15 38.380001 43.94986 55.68437 49.377042
2015-07-16 38.91 44.81426 57.78511 49.500249
2015-07-17 39.68 44.775841 57.942911 48.495648
2015-07-20 39.540001 45.063974 58.041536 47.879621
2015-07-21 39.73 45.409734 58.288102 47.48157
2015-07-22 39.240002 43.738565 59.511069 47.386798
2015-07-23 39.209999 44.286017 59.047524 45.263868
2015-07-24 38.849998 44.12274 57.893599 43.567423
2015-07-27 37.84 43.556079 57.163763 43.245193
2015-07-28 37.720001 43.546476 57.568131 44.211884
2015-07-29 37.669998 44.458897 58.110574 44.951117
2015-07-30 37.419998 45.025559 58.120449 44.941638
2015-07-31 36.669998 44.852679 57.705865 44.600456
2015-08-03 36.689999 44.958328 57.686123 44.031812
2015-08-04 37.119999 45.659451 57.715739 44.249791
2015-08-05 37.25 45.697869 57.982256 44.666797
2015-08-06 36.459999 44.775841 57.350509 44.164495
2015-08-07 36.669998 44.891097 57.162961 43.121986
2015-08-10 37.150002 45.457759 57.982256 44.202405
2015-08-11 36.029999 44.574149 56.896444 42.922963
2015-08-12 34.490002 44.891097 56.175861 43.311534
2015-08-13 35.93 44.881491 56.590445 42.619688
2015-08-14 36.240002 45.140811 56.847089 42.553346
2015-08-17 36.099998 45.448152 57.024768 43.093555
2015-08-18 35.689999 45.699514 56.807605 42.411184
2015-08-19 35.189999 45.061442 56.2647 41.823589
2015-08-20 34.099998 44.143004 54.616245 41.387628
2015-08-21 32.93 41.639053 52.908559 40.392506
2015-08-24 31.309999 40.295234 49.690614 38.241145
2015-08-25 31.74 39.125436 49.236549 37.331319
2015-08-26 32.52 41.291013 51.605587 38.904561
2015-08-27 33.689999 42.441479 52.750623 41.321287
2015-08-28 33.139999 42.470481 52.592687 41.700382
